H0,ombh2,omch2,logA,ns,A_N,Chi_sq,Type
67.23259433277494,0.022412075704852114,0.11977397588359076,3.045508109565917,0.9652671390138604,0.0006505329915858152,103.76600196451501,1.0
67.22161185541007,0.022354251652200195,0.11985372154569104,3.04444613732264,0.9649344172020532,0.0006512065042873588,102.65897810741038,1.0
67.10527769356769,0.02236315934612641,0.1198729825541058,3.0447895739859643,0.9638813741874054,0.0006500830002626319,102.5561531677322,1.0
67.10527769356769,0.02236315934612641,0.1198729825541058,3.0447895739859643,0.9638813741874054,0.0006500830002626319,102.5561531677322,3.0
67.14186556925458,0.022389358414685555,0.11956863584973036,3.0438782444473254,0.965607092374425,0.0006514049181793675,105.48051229482107,2.0
67.11438555761696,0.02241249891078508,0.11956711869428188,3.0445317444281446,0.9657479798390336,0.0006516522301151707,107.17296920861895,2.0
67.11438555761696,0.02241249891078508,0.11956711869428188,3.0445317444281446,0.9657479798390336,0.0006516522301151707,107.17296920861895,3.0
67.11438555761696,0.02241249891078508,0.11956711869428188,3.0445317444281446,0.9657479798390336,0.0006516522301151707,107.17296920861895,3.0
67.33898767268549,0.02243912720855385,0.11909288806964717,3.0445434972664267,0.9666042635187316,0.0006503709753087649,104.67666869108459,1.0
67.39018178470941,0.022386015192708088,0.11898418005172416,3.047047696213795,0.9649284371194182,0.0006481462469074294,100.20017594245525,1.0
67.39018178470941,0.022386015192708088,0.11898418005172416,3.047047696213795,0.9649284371194182,0.0006481462469074294,100.20017594245525,3.0
67.39018178470941,0.022386015192708088,0.11898418005172416,3.047047696213795,0.9649284371194182,0.0006481462469074294,100.20017594245525,3.0
67.39018178470941,0.022386015192708088,0.11898418005172416,3.047047696213795,0.9649284371194182,0.0006481462469074294,100.20017594245525,3.0
67.39018178470941,0.022386015192708088,0.11898418005172416,3.047047696213795,0.9649284371194182,0.0006481462469074294,100.20017594245525,3.0
67.39018178470941,0.022386015192708088,0.11898418005172416,3.047047696213795,0.9649284371194182,0.0006481462469074294,100.20017594245525,3.0
67.39018178470941,0.022386015192708088,0.11898418005172416,3.047047696213795,0.9649284371194182,0.0006481462469074294,100.20017594245525,3.0
67.39018178470941,0.022386015192708088,0.11898418005172416,3.047047696213795,0.9649284371194182,0.0006481462469074294,100.20017594245525,3.0
67.53060062812332,0.022437473609414414,0.1185148832647862,3.0460112432310367,0.9645204059457452,0.0006482645950543335,101.58178315942982,2.0
67.53060062812332,0.022437473609414414,0.1185148832647862,3.0460112432310367,0.9645204059457452,0.0006482645950543335,101.58178315942982,3.0
67.7296632514279,0.02248382356071669,0.11819132398266248,3.045581402329481,0.9638970718020654,0.0006482771775804283,101.49897823855419,1.0
67.7296632514279,0.02248382356071669,0.11819132398266248,3.045581402329481,0.9638970718020654,0.0006482771775804283,101.49897823855419,3.0
67.85002494818657,0.022477352918158503,0.11832173759949145,3.0473775531810277,0.9650206582590345,0.0006488483251593181,100.86970109215531,1.0
67.9580092378215,0.022541397785621534,0.11840044449317935,3.045781446627412,0.9641520647426067,0.0006491970154033336,99.20255678377137,1.0
67.9580092378215,0.022541397785621534,0.11840044449317935,3.045781446627412,0.9641520647426067,0.0006491970154033336,99.20255678377137,3.0
68.24442105222265,0.02253149670500944,0.11874365133923494,3.0465700544922845,0.9632188211171422,0.0006499227589127714,99.96003340057982,2.0
68.18229780456095,0.022570589966348177,0.11876825223016609,3.048147131359957,0.9645447681754654,0.0006507876985565963,101.77977433157113,2.0
68.4065785936657,0.022533580322399955,0.11877960506958492,3.048957306093979,0.9648091729682597,0.0006525675512313546,103.17094528413391,2.0
68.4065785936657,0.022533580322399955,0.11877960506958492,3.048957306093979,0.9648091729682597,0.0006525675512313546,103.17094528413391,3.0
68.4065785936657,0.022533580322399955,0.11877960506958492,3.048957306093979,0.9648091729682597,0.0006525675512313546,103.17094528413391,3.0
68.5749051957374,0.022575615398853225,0.11847991328351332,3.049409026719522,0.966800540219282,0.0006518206503039876,105.22701269417962,2.0
68.5749051957374,0.022575615398853225,0.11847991328351332,3.049409026719522,0.966800540219282,0.0006518206503039876,105.22701269417962,3.0
68.246757399992,0.022607330464195857,0.11824122516867196,3.0471460884620614,0.9674200982840662,0.0006513759782126963,102.91020081688366,1.0
68.246757399992,0.022607330464195857,0.11824122516867196,3.0471460884620614,0.9674200982840662,0.0006513759782126963,102.91020081688366,3.0
