,mean,std
H0,71.31229608251628,10.820791767514333
ombh2,0.021202392818839764,0.00042558923559404024
omch2,0.12151871895670462,0.004498591441660017
ns,0.9502251051403705,0.012388671637300515
w,-1.207349172921605,0.38006147978323335
