ell Cl Dl
316 2.280652247608521699e-01 3.636013992558680002e+03
317 2.063797552193146756e-01 3.311109984431914654e+03
318 2.064145637365811525e-01 3.332562251608248516e+03
319 2.162558071986915853e-01 3.513407884631004436e+03
320 2.204001358720812931e-01 3.603188645560204350e+03
321 1.936263312463747110e-01 3.185264141011232368e+03
322 2.144869662729888826e-01 3.550417554723072499e+03
323 1.969796418535276206e-01 3.280869888669379634e+03
324 2.033269441416486190e-01 3.407559409978046006e+03
325 1.969090188592190205e-01 3.320371679042373671e+03
326 2.102289275825026116e-01 3.566793440349728826e+03
327 1.849967717684469493e-01 3.157954569654938950e+03
328 1.889141743446394739e-01 3.244549601073234044e+03
329 1.805622445778826135e-01 3.120016669159874255e+03
330 1.858843062784916456e-01 3.231504687852955158e+03
331 1.920205648548539146e-01 3.358411837530495632e+03
332 1.743688943304088634e-01 3.068113789285331677e+03
333 1.575959768621496004e-01 2.789690082597624951e+03
334 1.594851033372102211e-01 2.840086252431518460e+03
335 1.607134961874099877e-01 2.879098776568650464e+03
336 1.683504483711815158e-01 3.033916244390144129e+03
337 1.517461292395050898e-01 2.750960500465314453e+03
338 1.664275609617872909e-01 3.035021546847156060e+03
339 1.570836591574298335e-01 2.881573862511560037e+03
340 1.670467827267951566e-01 3.082418079761891477e+03
341 1.489877362629699054e-01 2.765356571388394514e+03
342 1.475372640360295695e-01 2.754495601973468183e+03
343 1.320570565667973095e-01 2.479900791820493851e+03
344 1.481565876964995310e-01 2.798456987688840400e+03
345 1.337925107466259311e-01 2.541833676236704832e+03
346 1.307489105781879102e-01 2.498410429484045835e+03
347 1.285927737021499984e-01 2.471413498410288412e+03
348 1.325818053270835795e-01 2.562764685960378301e+03
349 1.324369058108760544e-01 2.574676259557934827e+03
350 1.254779608694062687e-01 2.453368274081044547e+03
351 1.384180042356549789e-01 2.721839389295420006e+03
352 1.236772298773134715e-01 2.445835531553617329e+03
353 1.368836184354528251e-01 2.722385206017313521e+03
354 1.293532892199674711e-01 2.587195357376825996e+03
355 1.174166048395341722e-01 2.361717790284518742e+03
356 1.167491311693802797e-01 2.361522039088060410e+03
