Omega_m,H0,w,Chi_sq,Type
0.3886458364458046,58.76445880897286,-1.429367801541345,10820.585934613995,1
0.3885057274545038,59.11210696235001,-1.3899286830977806,9956.539500839182,1
0.3921868024580236,59.254169323550556,-1.3724197889519996,9518.122093748847,1
0.3973349081689516,59.26536971333906,-1.32856200748949,9103.025954183213,1
0.3931914405724712,59.38633726592292,-1.3123627786643723,8899.046946010589,1
0.39282894073511065,59.50868345252027,-1.2992484070741264,8634.418280360504,1
0.4035799287636007,59.38449098454183,-1.3011936052278636,8616.176499016105,1
0.4038107112318806,59.66239138219872,-1.246483587012614,7872.192251576904,1
0.39822843737271557,59.808943247283395,-1.252371386256375,7797.682564412846,1
0.4027166128252086,59.943613978952875,-1.2473542395842407,7495.368691590836,1
0.40380208806159623,60.189613944654,-1.285913707507311,7348.277840639822,1
0.4084734182658186,60.218164654290746,-1.2627905419049454,7099.988320529761,1
0.4159624024731457,60.154390215217944,-1.2381451163976833,6928.611487121847,1
0.4143681187146799,60.13433531487465,-1.213028604182741,6850.646981140576,1
0.41668949785967224,60.12890877141602,-1.2137895143189052,6824.555328352089,1
0.413699793312522,60.37288622857074,-1.2328541787359926,6650.492202318793,1
0.4095761474893144,60.565642233055975,-1.2033422688535624,6319.276094256644,1
0.4143767164248766,60.96301363807884,-1.247769252419551,5974.326367138769,1
0.4149704115149737,61.086267128190464,-1.2342762200168886,5755.206399679603,1
0.41783485108802876,61.18522717213348,-1.2244881171062652,5554.114383553464,1
0.4196344576602298,61.3318591673364,-1.190467943111764,5214.444727093215,1
0.4146157992806803,61.32134676476027,-1.1644475851648108,5177.287679312412,1
0.41815865680066877,61.51171094325916,-1.1633820745794436,4923.5269375037615,1
0.41675935644299583,61.59124113847445,-1.1401592316462008,4760.30187385212,1
0.4219416958635431,61.66683323899515,-1.1383786225061852,4616.313406486185,1
0.4199273025338364,61.87585688230108,-1.1522334083714756,4484.9546977371465,1
0.4077121792485828,62.342991137585905,-1.1435102940869613,4137.398040020853,1
0.398207763977209,62.435184661840694,-1.0952709083820005,3965.40068315353,1
0.4051588604414002,62.43521327628351,-1.0992521457276894,3911.226387091653,1
0.4040822410467748,62.57777402202008,-1.1266246308220231,3897.4087941265143,1
0.40515819973995176,62.5758118835276,-1.1145014440828442,3843.2164478309774,1
0.40532318935868267,62.73633452016417,-1.120161199320552,3722.490267197719,1
0.41081804393116383,62.927874994716575,-1.1191807822880477,3506.131343575461,1
0.40869245688561606,62.809353581551434,-1.0381956309566531,3349.6117690650053,1
0.40522549370654576,62.943798016603104,-1.0089782496988673,3177.6338049753763,1
0.4065915574293523,62.91471840564003,-0.9908359062087772,3132.478247352237,1
0.4047873066805954,63.01198280793156,-0.9928193993182616,3079.1143492377396,1
0.4063581529381014,62.92073559342054,-0.9493837119905312,3002.862290855016,1
0.40435383532908087,63.14624190898403,-0.9461701508098208,2847.1916777789806,1
0.4065488244198182,63.282791730360756,-0.8747693358070052,2554.9334607460337,1
0.4069880410798602,63.20245612571931,-0.8269543702994407,2485.6535259883713,1
0.40453043470955463,63.30394045988119,-0.8027310731182138,2380.7908812306277,1
0.40749008150894755,63.80315794033331,-0.8137978518387807,2127.5491081394575,1
0.40621622604066543,63.836251140532845,-0.810363092061627,2108.705265013001,1
0.4042431703684391,63.96001578596704,-0.8146350058069647,2062.438514283792,1
0.40879407548476543,63.95986773312584,-0.8161132433990874,2051.414641319985,1
0.41350377738560296,64.06185875845158,-0.804485954329094,1971.4349853774424,1
0.42010142897810937,63.92100396655647,-0.7616066402412361,1952.2348481147828,1
0.4224364851022652,64.09846607840714,-0.7109907704556896,1813.2752803997398,1
0.42795486947041156,64.15291933899205,-0.6863873453747396,1763.1094162786812,1
0.4199148410441374,64.31168611078941,-0.6995783962842463,1730.1733400361536,1
0.4147545829876561,64.59889138487782,-0.6910634034101213,1637.9440503960695,1
0.40879420492106766,64.79247361879303,-0.7081009281864042,1598.7603049812055,1
0.40669573349023147,64.89690228833334,-0.7020262362352727,1567.213382724834,1
0.4029215819846605,65.25280289007587,-0.713493082128395,1485.8848308038835,1
0.396372679324008,65.41501716779919,-0.6097570663610301,1438.0273484649483,1
0.39188486619004215,65.61227355865691,-0.6387083202103331,1403.53858491656,1
0.39294249945924453,65.76571865577695,-0.660340400240534,1379.7910158945406,1
0.39616598373095646,66.10574322324196,-0.6831075376953509,1335.0489960005202,1
0.39387864775323944,66.19475099199411,-0.6590461514937522,1332.6569273724904,1
0.3900099911761626,66.31371057210993,-0.6802096222692392,1311.3833596045806,1
0.3853192175378996,66.53159837492113,-0.7269893439533401,1275.3453509709557,1
0.38476824035566387,67.07671274873114,-0.7575243074082804,1224.849666811017,1
0.382150467214798,67.02880411982848,-0.793622387659848,1216.443226579598,1
0.3722524961770516,67.06320028548802,-0.7832135620436953,1210.204587303941,1
0.3775490808001378,67.24090825460527,-0.7657475877659647,1206.9427632520064,1
0.3756490434660155,67.53882603514616,-0.7833072358159894,1186.571875765651,1
0.37286756462609144,67.64246257291221,-0.8115229198767637,1168.1354855307059,1
0.36398791647848094,67.5789098551454,-0.8336157100364031,1159.3588089799093,1
0.3654799841730399,67.67945368118428,-0.847929364095798,1151.3482677928494,1
0.36348458724563976,67.71813716060267,-0.8221039095072815,1153.7200803421306,2
0.3589081823005465,67.82553940753778,-0.8074776459518401,1151.3521735477866,1
0.36084499483746657,67.98077853943806,-0.8284416702360753,1140.6960041964996,1
0.3574870519588804,68.06119167952941,-0.8777158223322692,1120.978331820711,1
0.35142268137983645,68.35011620425456,-0.8553731640232141,1114.8247040171968,1
0.3556891630885557,68.45781284522003,-0.8676450790164248,1113.323578613506,1
0.34962127870362797,68.25762928674068,-0.9000978853181878,1104.6413006428625,1
0.35242271118014806,68.41711506495196,-0.9285391469633741,1095.145924531283,1
0.3530315381385819,68.71774747610088,-0.9236115119757052,1087.507683132444,1
0.3496253378826604,68.54877257041426,-0.9349006581510246,1087.5535322312498,2
0.35112622785563496,68.66188069515074,-0.941395436877139,1083.205985726866,1
0.3442515212414377,68.74241680424917,-0.9229527000372912,1080.9213168405295,1
0.3416467390204248,68.77810704830459,-0.9542269825114758,1073.9692567904563,1
