H0,Omega_m,Omega_r,Chi_sq,Type
76.21475095253437,0.28607695445875736,0.00010358909529422901,2932.0149213425916,1.0
76.21331630017785,0.2792056390348743,9.543555563927406e-05,2869.7207283968687,1.0
76.13612369646138,0.2841465247524785,8.445907051617214e-05,2867.762020193798,1.0
75.77772842948264,0.2900205807341701,9.297917551775371e-05,2711.618058942414,1.0
75.66666348554439,0.2838611391924689,9.043259702294088e-05,2598.3513490842906,1.0
75.69019691582413,0.2786338331166017,8.544557514743331e-05,2568.667236555158,1.0
75.3721448062967,0.28089628315462944,7.809042128929085e-05,2417.829201589807,1.0
75.18076128880023,0.2828552703604057,9.293261755736969e-05,2335.1804598269136,1.0
74.88149571837894,0.27878165320036385,9.488115404401595e-05,2160.4288626979137,1.0
74.80668130663189,0.2771675636748357,0.00010226360604065144,2114.6968363978935,1.0
74.81341199892525,0.2679032982000208,9.854562633736565e-05,2056.4096635356696,1.0
74.84282583687559,0.2647911034729025,9.766666998370458e-05,2049.424166652807,1.0
74.87244559379607,0.25983994885236766,9.289453357446805e-05,2030.8955060812582,1.0
74.77315252825024,0.2642219257199664,0.00010367318748010992,2015.0570828096636,1.0
74.51983538996188,0.26624564576115056,0.00010462096384996144,1919.0859500913373,1.0
74.26046621464286,0.264014829706179,0.0001105015238207827,1801.4626961248432,1.0
74.14865635175923,0.2669895730693648,0.00010707919323575781,1774.5569013247332,1.0
74.01214214534556,0.2667303967984848,0.00011613616603768725,1721.7317097956143,1.0
73.81739222931765,0.2711635109864622,9.545221669389302e-05,1673.5595072646904,1.0
73.5249719467702,0.27225988796802064,8.784758156870137e-05,1577.929238822023,1.0
73.47455210255887,0.2641189626596615,9.656776490161787e-05,1524.70325249202,1.0
73.10562232273847,0.2643188289679792,8.659576301772495e-05,1415.9489570709295,1.0
72.68980072451427,0.264150401281617,9.08485075055684e-05,1308.1241696018726,1.0
72.60307581003323,0.2674666173573227,7.795927922116602e-05,1298.211804891707,1.0
72.5595389260087,0.266225396180621,7.8424473945021e-05,1284.3332510130977,1.0
72.2426202235428,0.27036342107470557,8.56900351281478e-05,1228.502438707983,1.0
72.2745619962295,0.26945275565624976,9.062747673530665e-05,1232.490876372814,2.0
72.18704085046106,0.26863567865274074,8.952720707062173e-05,1213.0148024968805,1.0
72.13845001106145,0.26849038932291863,8.525201217407645e-05,1203.3993279192073,1.0
72.00749682851489,0.2625547927075892,9.018612645740062e-05,1166.7509061638968,1.0
71.9835942079282,0.26097093115557335,9.352930172792233e-05,1159.6418353838415,1.0
71.77743952013284,0.27154081508210975,9.064885378555384e-05,1148.6079858323483,1.0
71.6712207270704,0.26412843049299567,7.814882508984847e-05,1119.7438928402257,1.0
71.5469238380721,0.2597007347094698,8.846687972082862e-05,1098.1628527073874,1.0
71.50526836649394,0.26135643636713235,0.0001104545780947103,1095.6900031432776,1.0
71.36315352470528,0.2567129789249475,0.00011009786253455237,1076.5850919496656,1.0
71.37305791508334,0.254242234315721,0.0001114325640550559,1075.3405509863737,1.0
71.32936202513483,0.2442423775046587,0.00010506416908477725,1066.121845384125,1.0
71.37657858596312,0.23555756951476878,0.0001057141861810962,1066.8679553999996,2.0
71.27957836671149,0.23415286785747652,0.00010071080030583117,1062.0512741073362,1.0
71.19831488217665,0.23343202211898365,0.00010314514426569012,1059.067299761147,1.0
70.94643889662368,0.23161453161785447,0.00010389755716902233,1055.3806451679025,1.0
70.72110659828289,0.2318559918794815,9.652793721476578e-05,1057.2227813304416,2.0
70.77595710380916,0.2353988080377499,0.00010869289813063094,1052.9043162635583,1.0
70.73440797020561,0.2419008330106744,0.0001183531060866898,1048.218691765523,1.0
70.80651009664469,0.23985604722961165,0.00011263971777239448,1049.4541279487885,2.0
70.81173345956408,0.23886657901399794,0.0001218396593791623,1050.0841193537442,2.0
70.75782059457204,0.23681126398746877,0.00013067247955012346,1051.849256478504,2.0
70.69814003654788,0.23852239977747913,0.0001247527429546997,1051.0795990173046,1.0
70.68501555245565,0.24232205373972268,0.00012883773135777184,1048.2089699684739,1.0
70.78676893035149,0.2527781616949642,0.00012194118934315775,1044.15526322331,1.0
70.6910090568619,0.24748772552158602,0.0001374407746335716,1044.9739292584463,2.0
70.53087244371653,0.24746590321177725,0.00014797153731483674,1046.3029012858126,2.0
