Omega_m,H0,Chi_sq,Type
0.20968023838542132,71.1899260701055,1077.1932410006393,1.0
0.2111441159372924,71.13098183101478,1075.7880453167027,1.0
0.21452984256811414,71.37456074711737,1073.6331241600183,1.0
0.2143030285901557,71.21394356952355,1071.8013729125832,1.0
0.21866661231656515,70.81658823622725,1071.9355313887802,2.0
0.22009234896778698,70.78624833167395,1070.806558910112,1.0
0.21575331048173288,70.927430317845,1073.036375465722,2.0
0.22040160644462106,70.90877385134948,1067.134056610679,1.0
0.22817144977470188,71.05842410282021,1058.7064259679116,1.0
0.22894629795682953,71.04010193700788,1057.994770561241,1.0
0.2348422978841222,71.15212799254363,1057.2806190310012,1.0
0.23811718080464783,71.05979412549094,1053.7408116096963,1.0
0.24331217456538629,71.18513178702776,1057.799371100052,2.0
0.24900952438187976,70.67266887550514,1044.3281616858958,1.0
0.24950336452778402,70.77284010514875,1044.780130975087,2.0
0.24908435390132766,70.62746869854354,1044.3710638495218,1.0
0.25251982124136413,70.49013918115385,1043.5416646040208,1.0
0.26087657857110663,70.38071611384153,1040.18552561165,1.0
0.2657185895331477,70.26013182387868,1039.6093423988166,1.0
0.2707609027713466,70.20200027924814,1038.27436600197,1.0
0.2659430730105318,70.4429932411899,1037.9950525287354,1.0
0.268867070467398,70.48785748419907,1037.901060130877,1.0
0.26583844860709294,70.50528597693123,1038.3454738949126,2.0
0.2654047236192299,70.11258242163119,1043.8293824414768,2.0
0.26851750084984505,70.49136714634292,1037.9590872611675,1.0
0.26691260090110835,70.41021487836218,1037.7408565491774,1.0
0.26958128250354524,70.57465168743823,1039.3871474680968,2.0
0.276773713665826,70.39365467957204,1036.880249327267,1.0
0.2849087426402159,70.11496326428068,1035.7937581591887,1.0
0.28408020268238515,70.09327817136231,1036.0229059389299,2.0
0.2938314498974933,70.24741959751928,1038.6950259106698,2.0
0.28569022935306,70.14473533836127,1035.6888125706005,1.0
0.28638204461997047,70.09679817901855,1035.8039227983504,2.0
0.29041001013510925,70.01936005116248,1036.1345118768245,2.0
0.29713115738528534,69.89793257991904,1037.1776249601403,2.0
0.2937407974036245,69.93947489681595,1036.766441760752,1.0
0.2971293498214536,69.85026927634134,1037.8112008293115,2.0
0.299292055836923,69.886582531769,1037.3719859784333,1.0
0.3055849539718536,69.81464654016308,1038.6536446748928,2.0
0.30804382102824573,69.88228135188653,1039.1804857123864,2.0
0.30932450866369815,69.79132759571854,1039.5451878943459,2.0
0.3068154907750264,69.85884790661052,1038.75706939753,1.0
0.3079661623092804,69.66818586511087,1040.8483954242681,2.0
0.30047021699418053,69.86595744019469,1037.6366829637134,1.0
0.3006284828935245,69.8987418395247,1037.4191610176836,1.0
0.3007218604459194,69.92101149033677,1037.347639376138,1.0
0.2930457031849486,70.11842193255187,1036.415742790587,1.0
0.2900383254005991,70.09636395147979,1035.874796616988,1.0
0.29093862401937853,70.1958345920195,1036.7301966048544,2.0
0.2930921052719664,69.94746838306264,1036.7037932151356,1.0
